Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Rok budowy;Liczba pięter;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;API_Google_Distance
1350000.0;91.0;4;0;10;2021;12;1;0;0;0;0;0;0;0;1;0;0;1;0;1.8
760000.0;80.3;4;0;0;2017;4;1;0;0;0;0;0;0;0;1;0;0;1;0;2.6
799000.0;69.0;3;0;0;2016;3;0;1;0;0;0;0;0;0;1;0;0;1;0;11.2
745000.0;86.66;5;0;1;2020;10;1;0;0;0;0;0;0;0;1;0;1;1;0;3.1
1760000.0;126.13;3;0;11;2010;13;1;0;0;0;0;0;0;0;1;0;0;1;0;3.6
839000.0;110.0;4;0;0;1989;4;1;0;0;0;0;0;0;0;1;0;1;1;0;5.8
1300000.0;150.27;4;0;3;2010;5;0;0;0;1;0;0;0;0;1;0;0;1;0;3.2
740000.0;110.0;5;0;4;1996;8;0;1;0;0;0;0;0;0;1;0;0;1;0;53.9
899000.0;110.0;4;0;0;1990;4;0;1;0;0;0;0;0;0;1;0;0;1;0;9.8
1500000.0;215.11;4;0;0;2012;2;0;1;0;0;0;0;0;1;0;0;0;1;0;4.6
1390000.0;140.0;3;0;6;2010;8;1;0;0;0;0;0;0;0;1;0;0;1;0;36.8
1100000.0;134.0;3;0;2;1890;4;0;0;0;1;0;0;0;1;0;0;0;1;0;1.6
990000.0;129.2;4;0;1;2012;5;0;0;0;0;1;0;0;0;1;0;0;1;0;3.4
830000.0;92.23;4;1;3;2018;4;1;0;0;0;0;0;0;0;1;0;1;1;0;4.6
849000.0;97.55;4;1;2;2018;4;0;1;0;0;0;0;0;0;1;0;1;1;0;5.0
779000.0;86.66;5;0;1;2020;10;1;0;0;0;0;0;0;0;1;0;1;1;0;2.5
750000.0;99.6;3;0;2;2021;6;0;1;0;0;0;0;0;0;1;0;1;1;0;53.9
740000.0;87.45;3;0;1;2007;4;1;0;0;0;0;0;0;0;1;0;0;1;0;2.7
864800.0;92.0;3;1;4;2017;5;1;0;0;0;0;0;0;0;1;0;1;1;0;2.6
858000.0;85.75;2;0;3;2014;4;1;0;0;0;0;0;0;0;1;0;0;1;0;3.2
787000.0;69.03;3;0;5;2019;6;1;0;0;0;0;0;0;0;1;0;0;1;0;6.7
795000.0;87.0;4;0;5;2011;5;1;0;0;0;0;0;0;0;1;0;0;1;0;1.3
1050000.0;146.0;4;0;3;1995;4;0;1;0;0;0;0;0;0;1;0;0;1;0;5.9
1150000.0;137.0;4;0;2;2008;2;0;0;0;0;0;1;0;1;0;0;0;1;0;5.8
1000000.0;72.18;3;0;0;2018;2;1;0;0;0;0;0;0;1;0;0;0;1;0;5.0
740000.0;78.0;3;0;0;2017;5;1;0;0;0;0;0;0;0;1;0;0;1;0;8.1
885000.0;125.79;6;0;5;1996;6;0;1;0;0;0;0;0;0;1;0;0;0;1;2.5
1390000.0;140.0;3;0;6;2010;8;1;0;0;0;0;0;0;0;1;0;0;1;0;2.6
882000.0;142.0;4;0;1;1920;4;0;0;0;1;0;0;0;0;1;1;0;1;0;2.5
941150.0;134.45;4;0;1;2022;2;0;0;1;0;0;0;0;0;1;0;1;1;0;10.0
998130.0;142.59;4;0;1;2022;2;0;0;1;0;0;0;0;0;1;0;1;1;0;10.0
1180000.0;169.0;5;0;2;1919;4;0;0;0;1;0;0;0;1;0;0;0;1;0;1.9
725000.0;93.7;4;0;3;2001;3;0;1;0;0;0;0;0;0;1;0;0;1;0;11.4
720000.0;78.0;3;0;0;2018;4;1;0;0;0;0;0;0;0;1;0;0;1;0;8.1
895000.0;124.0;5;0;5;1996;6;0;1;0;0;0;0;0;0;1;0;0;0;1;2.5
725000.0;122.0;3;0;3;2007;4;1;0;0;0;0;0;0;0;1;0;0;1;0;7.4
740000.0;78.0;3;0;0;2016;5;1;0;0;0;0;0;0;0;1;0;0;1;0;7.5
779000.0;86.66;5;0;1;2020;10;1;0;0;0;0;0;0;0;1;1;0;1;0;2.5
997000.0;109.4;4;0;4;2012;4;1;0;0;0;0;0;0;0;1;0;0;1;0;6.0
895000.0;118.17;4;0;2;1910;4;0;0;0;1;0;0;0;0;1;0;0;1;0;1.6
780000.0;86.66;5;0;1;2020;10;1;0;0;0;0;0;0;0;1;0;1;1;0;2.6
750000.0;98.0;3;0;0;1937;5;0;0;0;1;0;0;0;0;1;0;0;1;0;2.5
838000.0;152.84;3;0;1;1879;3;0;0;0;1;0;0;0;1;0;0;1;1;0;2.5
888000.0;143.93;5;0;3;1999;4;0;1;0;0;0;0;0;1;0;0;0;0;1;36.8
746999.0;76.0;4;0;6;2019;13;1;0;0;0;0;0;0;0;1;0;0;1;0;2.1
750000.0;88.2;3;0;3;2002;3;1;0;0;0;0;0;0;0;1;0;0;1;0;10.6
823000.0;160.0;7;0;2;1909;3;0;0;0;1;0;0;0;1;0;0;0;1;0;2.7
1390000.0;220.0;5;0;3;2010;4;1;0;0;0;0;0;0;0;1;0;0;1;0;6.4
1390000.0;140.0;3;0;6;2010;8;1;0;0;0;0;0;0;0;1;0;0;1;0;4.9
1090000.0;119.4;4;0;1;2010;6;1;0;0;0;0;0;0;0;1;0;0;1;0;3.2
761910.0;109.0;5;1;1;2021;1;0;0;0;0;0;1;0;1;0;0;1;1;0;6.9
780000.0;152.0;4;0;1;1910;5;0;0;0;1;0;0;1;0;0;0;0;1;0;2.9
1390000.0;140.0;4;0;6;2010;8;1;0;0;0;0;0;0;0;1;0;0;1;0;4.9
1381800.0;197.4;6;0;6;2012;6;1;0;0;0;0;0;0;0;1;0;0;1;0;6.4
720510.0;98.7;4;1;4;2020;4;0;1;0;0;0;0;0;0;1;0;1;1;0;3.5
783000.0;156.64;6;0;4;1998;6;1;0;0;0;0;0;0;0;1;0;0;1;0;9.8
